,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
4887,Dark Souls III,XOne,2016.0,Role-Playing,Namco Bandai Games,0.26,0.09,0.0,0.04,0.39,87.0,14.0,8.6,514.0,From Software,
7086,Dark Souls II,XOne,2015.0,Role-Playing,Namco Bandai Games,0.14,0.07,0.0,0.02,0.23,,,,,,
