,DateTime,Players
155,2022-07-29 00:00:00,39789
156,2022-07-30 00:00:00,46293
157,2022-07-31 00:00:00,48106
158,2022-08-01 00:00:00,38945
159,2022-08-02 00:00:00,37343
160,2022-08-03 00:00:00,37321
161,2022-08-04 00:00:00,36960
162,2022-08-05 00:00:00,39217
163,2022-08-06 00:00:00,45096
164,2022-08-07 00:00:00,47397
165,2022-08-08 00:00:00,38506
166,2022-08-09 00:00:00,34276
167,2022-08-10 00:00:00,35418
168,2022-08-11 00:00:00,35050
169,2022-08-12 00:00:00,37830
170,2022-08-13 00:00:00,42939
171,2022-08-14 00:00:00,45151
172,2022-08-15 00:00:00,38884
173,2022-08-16 00:00:00,36056
174,2022-08-17 00:00:00,35867
175,2022-08-18 00:00:00,35167
176,2022-08-19 00:00:00,37416
177,2022-08-20 00:00:00,43930
178,2022-08-21 00:00:00,46138
179,2022-08-22 00:00:00,35746
180,2022-08-23 00:00:00,35378
181,2022-08-24 00:00:00,33021
182,2022-08-25 00:00:00,32699
183,2022-08-26 00:00:00,34801
184,2022-08-27 00:00:00,41241
185,2022-08-28 00:00:00,43177
186,2022-08-29 00:00:00,34150
187,2022-08-30 00:00:00,33560
188,2022-08-31 00:00:00,32808
189,2022-09-01 00:00:00,32101
190,2022-09-02 00:00:00,34813
191,2022-09-03 00:00:00,42524
192,2022-09-04 00:00:00,44015
193,2022-09-05 00:00:00,41589
194,2022-09-06 00:00:00,32651
195,2022-09-07 00:00:00,32718
196,2022-09-08 00:00:00,31775
197,2022-09-09 00:00:00,34133
198,2022-09-10 00:00:00,42624
199,2022-09-11 00:00:00,45475
200,2022-09-12 00:00:00,31859
201,2022-09-13 00:00:00,31387
202,2022-09-14 00:00:00,31548
203,2022-09-15 00:00:00,30927
204,2022-09-16 00:00:00,33397
205,2022-09-17 00:00:00,42458
206,2022-09-18 00:00:00,43754
207,2022-09-19 00:00:00,33364
208,2022-09-20 00:00:00,31054
209,2022-09-21 00:00:00,30494
210,2022-09-22 00:00:00,30003
211,2022-09-23 00:00:00,32171
212,2022-09-24 00:00:00,40762
213,2022-09-25 00:00:00,41979
214,2022-09-26 00:00:00,29959
215,2022-09-27 00:00:00,29528
216,2022-09-28 00:00:00,29044
217,2022-09-29 00:00:00,28096
218,2022-09-30 00:00:00,30763
219,2022-10-01 00:00:00,38442
220,2022-10-02 00:00:00,39830
221,2022-10-03 00:00:00,30427
222,2022-10-04 00:00:00,28429
223,2022-10-05 00:00:00,27373
224,2022-10-06 00:00:00,27026
225,2022-10-07 00:00:00,28048
226,2022-10-08 00:00:00,34805
227,2022-10-09 00:00:00,36653
228,2022-10-10 00:00:00,27576
229,2022-10-11 00:00:00,25667
230,2022-10-12 00:00:00,26361
231,2022-10-13 00:00:00,23752
232,2022-10-14 00:00:00,28885
233,2022-10-15 00:00:00,38217
234,2022-10-16 00:00:00,39401
235,2022-10-17 00:00:00,29579
236,2022-10-18 00:00:00,29637
237,2022-10-19 00:00:00,29083
238,2022-10-20 00:00:00,29196
