,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
2091,Dark Souls,X360,2011.0,Role-Playing,Namco Bandai Games,0.64,0.27,0.0,0.09,0.99,89.0,66.0,8.4,1106.0,From Software,M
2756,Dark Souls II,X360,2014.0,Role-Playing,Namco Bandai Games,0.48,0.18,0.01,0.07,0.74,91.0,30.0,7.9,915.0,From Software,T
