,DateTime,Players,Average Players
374,2022-06-20 00:00:00,279843.0,
375,2022-06-21 00:00:00,306156.0,
376,2022-06-22 00:00:00,301666.0,
377,2022-06-23 00:00:00,289060.0,
378,2022-06-24 00:00:00,360567.0,
379,2022-06-25 00:00:00,293284.0,
380,2022-06-26 00:00:00,348754.0,
381,2022-06-27 00:00:00,341678.0,
382,2022-06-28 00:00:00,283820.0,
383,2022-06-29 00:00:00,226472.0,
384,2022-06-30 00:00:00,186986.0,
385,2022-07-01 00:00:00,173512.0,
386,2022-07-02 00:00:00,215308.0,
387,2022-07-03 00:00:00,254128.0,
388,2022-07-04 00:00:00,274205.0,
389,2022-07-05 00:00:00,280685.0,
390,2022-07-06 00:00:00,283863.0,
391,2022-07-07 00:00:00,292516.0,
392,2022-07-08 00:00:00,278280.0,
393,2022-07-09 00:00:00,305384.0,
394,2022-07-10 00:00:00,313083.0,
395,2022-07-11 00:00:00,285210.0,
396,2022-07-12 00:00:00,268757.0,
397,2022-07-13 00:00:00,268748.0,
398,2022-07-14 00:00:00,251334.0,
399,2022-07-15 00:00:00,151989.0,
400,2022-07-16 00:00:00,170008.0,
401,2022-07-17 00:00:00,204940.0,
402,2022-07-18 00:00:00,201638.0,
403,2022-07-19 00:00:00,201865.0,
404,2022-07-20 00:00:00,164256.0,
405,2022-07-21 00:00:00,230377.0,
406,2022-07-22 00:00:00,242342.0,
407,2022-07-23 00:00:00,267406.0,
408,2022-07-24 00:00:00,290788.0,
409,2022-07-25 00:00:00,288234.0,
410,2022-07-26 00:00:00,290423.0,
411,2022-07-27 00:00:00,243626.0,
412,2022-07-28 00:00:00,296884.0,
413,2022-07-29 00:00:00,311828.0,
414,2022-07-30 00:00:00,334027.0,
415,2022-07-31 00:00:00,352852.0,
416,2022-08-01 00:00:00,352344.0,
417,2022-08-02 00:00:00,340560.0,
418,2022-08-03 00:00:00,281060.0,
419,2022-08-04 00:00:00,156805.0,
420,2022-08-05 00:00:00,252770.0,
421,2022-08-06 00:00:00,151541.0,
422,2022-08-07 00:00:00,185135.0,
423,2022-08-08 00:00:00,203445.0,
424,2022-08-09 00:00:00,220056.0,
425,2022-08-10 00:00:00,181785.0,
426,2022-08-11 00:00:00,116685.0,
427,2022-08-12 00:00:00,121437.0,
428,2022-08-13 00:00:00,131118.0,
429,2022-08-14 00:00:00,137042.0,
430,2022-08-15 00:00:00,133695.0,
431,2022-08-16 00:00:00,147840.0,
432,2022-08-17 00:00:00,171335.0,
433,2022-08-18 00:00:00,225391.0,
434,2022-08-19 00:00:00,239071.0,
