,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
8202,Dark Souls II,PC,2014.0,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17,91.0,36.0,7.1,2318.0,From Software,T
11892,Dark Souls III,PC,2016.0,Role-Playing,Namco Bandai Games,0.0,0.07,0.0,0.0,0.07,89.0,56.0,8.6,1848.0,From Software,M
12235,Dark Souls,PC,2012.0,Role-Playing,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07,,,,,,
